company_id,cluster_id,centroid_distance,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,revenue_cagr,fcf_cagr_5yr
ABB,0,0.325618726575047,32.47,0.02,24.84,11.44,16.59
ADANIENSOL,0,0.9251691149313239,9.46,2.93,34.39,8.29,14.25
ADANIENT,0,1.0584015289759123,8.53,1.67,11.8,6.82,38.42
ADANIGREEN,3,2.2525413243139885,12.81,6.6,79.37,46.72,46.31
ADANIPORTS,4,0.9596036971903024,15.35,0.94,58.36,18.86,15.95
ADANIPOWER,0,0.6217293434487826,48.28,0.8,36.2,19.12,21.77
AMBUJACEM,0,0.7369092824237821,12.48,0.27,13.15,10.65,4.1
APOLLOHOSP,0,0.31242965984949633,13.48,0.77,12.56,15.14,16.43
ASIANPAINT,0,0.26605765804726816,29.68,0.13,21.37,10.51,20.62
ATGL,0,0.2575138418321085,18.66,0.43,24.67,19.66,17.65
AXISBANK,3,2.3843249538739117,15.83,8.25,34.69,13.22,-42.7
BAJAJ-AUTO,0,0.2681443561699231,26.61,0.07,19.53,7.72,19.16
BAJAJFINSV,3,1.3363911766095686,25.85,4.79,37.04,25.78,3.95
BAJAJHLDNG,4,0.7792447161540648,13.58,0.0,91.77,14.62,24.99
BAJFINANCE,0,1.329432632465988,18.84,3.82,29.29,27.72,3.95
BANKBARODA,3,1.5686996397964925,15.76,12.14,37.49,10.75,3.95
BEL,2,0.754135456597314,4744.05,0.51,24.92,10.84,34.44
BHARTIARTL,0,1.3403853082221462,10.36,2.61,52.2,6.04,21.87
BHEL,0,0.9265421537390587,1.15,0.36,2.98,-5.18,30.56
BOSCHLTD,0,1.3084053537748792,20.64,0.0,12.52,5.86,-8.22
BPCL,0,0.4034620502765952,35.51,0.72,9.84,5.21,17.65
BRITANNIA,0,0.4602233945416599,54.15,0.52,18.89,8.92,8.72
CANBK,3,2.4645912515171666,16.72,14.87,41.75,11.02,-2.42
CHOLAFIN,3,1.072209333029362,17.46,6.86,28.1,19.82,3.95
CIPLA,4,0.4313551039567783,15.55,0.02,75.59,10.35,16.06
COALINDIA,4,0.8657553243013505,45.17,0.08,66.29,6.18,-1.41
DABUR,0,0.4476062457996505,18.36,0.14,19.35,6.07,10.19
