metric,P10,P25,P50,P75,P90,Mean,Std
net_profit_margin_pct,3.15,7.12,13.57,21.21,28.67,19.84,45.1
operating_profit_margin_pct,9.71,14.88,26.46,40.63,79.42,34.34,27.28
return_on_equity_pct,8.37,11.67,16.72,26.01,48.28,123.95,637.14
debt_to_equity,0.0,0.06,0.43,1.59,6.45,1.67,2.86
interest_coverage,1.59,3.36,11.37,61.39,198.8,97.98,465.7
asset_turnover,0.07,0.21,0.68,1.14,1.66,3.51,15.85
free_cash_flow_cr,-2382.0,2698.5,8652.0,24856.0,50429.0,20294.66,52459.31
capex_cr,416.0,1429.5,3481.0,9014.0,22782.0,10155.3,20767.25
earnings_per_share,6.1,16.0,46.0,72.5,155.8,81.27,132.66
dividend_payout_ratio_pct,2.0,13.5,25.0,44.0,66.7,29.96,29.78
